istochnik,kanal,data_kommunikacii,id_kommunikacii,nazvanie_kommunikacii,tekst_kommunikacii,brand,target,sent,delivered,opened,clicked,unsubscribed
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Неонатологи,1,1,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Онкологи,1,1,0,0,0
Breffi,Внешниe email,2022-03-22,500a9ebd-3c48-4cc3-9caf-c85df8e74e59,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск Без звонка,No Brand,Педиатры,2393,2371,439,80,3
Breffi,Внешниe email,2022-03-22,b98438e1-4ea0-4005-95b7-f9b73830c860,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,No Brand,Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-03-22,b98438e1-4ea0-4005-95b7-f9b73830c860,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,No Brand,Другое,1,1,0,0,0
Breffi,Внешниe email,2022-03-22,b98438e1-4ea0-4005-95b7-f9b73830c860,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,22.03.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск ПОВТОР,No Brand,Педиатры,696,691,108,29,1
Breffi,Внешниe email,2022-04-04,615ba979-067b-4db9-8930-cc2bcce8ad13,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,"Необутин, Максилак",Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-04-04,615ba979-067b-4db9-8930-cc2bcce8ad13,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,"Необутин, Максилак",Другое,1,1,0,0,0
Breffi,Внешниe email,2022-04-04,615ba979-067b-4db9-8930-cc2bcce8ad13,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,04.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск триггерная,"Необутин, Максилак",Педиатры,2497,2147,513,132,147
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Врачи скорой и неотложной медицинской помощи,1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Дерматологи/Дерматовенерологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Другое,2,2,1,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Лечебная физкультура и спортивная медицина,1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Неонатологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Онкологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-05,5f23e537-f596-4d16-a277-4268666d616c,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,05.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №2_Верстка и отправка,"Кипферон, Кагоцел",Педиатры,3604,3533,721,139,5
Breffi,Внешниe email,2022-04-06,9518ca99-1047-4817-8a6d-1c5b4099265b,06.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + триг,06.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + триг,No Brand,Педиатры,1699,1399,348,54,119
Breffi,Внешниe email,2022-04-06,9518ca99-1047-4817-8a6d-1c5b4099265b,06.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + триг,06.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + триг,No Brand,Эндокринологи,0,0,0,0,0
Breffi,Внешниe email,2022-04-11,7f7de241-70cb-402f-b21d-11aed9e0be5a,11.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + повторная,11.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск + повторная,No Brand,Педиатры,371,337,29,5,11
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Врачи скорой и неотложной медицинской помощи,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Дерматологи/Дерматовенерологи,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Другое,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Лечебная физкультура и спортивная медицина,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Неонатологи,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Онкологи,0,0,0,0,0
Breffi,Внешниe email,2022-04-19,3fdaed47-e8fe-4d73-8726-531b871365c8,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,19.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта,"Необутин, Максилак",Педиатры,510,492,43,9,5
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Врачи скорой и неотложной медицинской помощи,1,1,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Дерматологи/Дерматовенерологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Другое,2,2,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Лечебная физкультура и спортивная медицина,1,1,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Неонатологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Онкологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-22,358067fd-fcbb-40b5-82bf-dcd383fd112a,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №3_Верстка и запуск + база проекта (перезапуск от 19),"Необутин, Максилак",Педиатры,2256,2228,149,14,7
Breffi,Внешниe email,2022-04-22,76a4e9d2-025f-4a79-8365-f36a92a09424,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск триг.,22.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск триг.,No Brand,Педиатры,1382,1315,246,32,19
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Врачи скорой и неотложной медицинской помощи,1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Гастроэнтерологи,1,1,1,1,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Дерматологи/Дерматовенерологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Другое,2,2,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Лечебная физкультура и спортивная медицина,1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Неонатологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Онкологи,1,1,0,0,0
Breffi,Внешниe email,2022-04-28,b95c9485-4570-4ee1-883f-276dbc6732e6,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,28.04.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР + База проекта,No Brand,Педиатры,3569,3517,586,89,4
Breffi,Внешниe email,2022-05-18,3063a6d8-6a49-4d4b-89af-a42b95fdd51b,Реактивация,Реактивация,Офломелид,Другое,0,0,0,0,0
Breffi,Внешниe email,2022-05-18,3063a6d8-6a49-4d4b-89af-a42b95fdd51b,Реактивация,Реактивация,Офломелид,Проктологи,1,1,0,0,0
Breffi,Внешниe email,2022-05-18,3063a6d8-6a49-4d4b-89af-a42b95fdd51b,Реактивация,Реактивация,Офломелид,Травматологи и ортопеды,176,176,54,11,1
Breffi,Внешниe email,2022-05-18,3063a6d8-6a49-4d4b-89af-a42b95fdd51b,Реактивация,Реактивация,Офломелид,Хирурги,1388,1387,505,170,18
Breffi,Внешниe email,2022-05-19,3ec220f7-0ac4-4319-b571-37abda40a458,Вебинар 1,Вебинар 1,Офломелид,Другое,0,0,0,0,0
Breffi,Внешниe email,2022-05-19,3ec220f7-0ac4-4319-b571-37abda40a458,Вебинар 1,Вебинар 1,Офломелид,Проктологи,1,1,1,0,0
Breffi,Внешниe email,2022-05-19,3ec220f7-0ac4-4319-b571-37abda40a458,Вебинар 1,Вебинар 1,Офломелид,Травматологи и ортопеды,175,175,51,8,0
Breffi,Внешниe email,2022-05-19,3ec220f7-0ac4-4319-b571-37abda40a458,Вебинар 1,Вебинар 1,Офломелид,Хирурги,1379,1379,472,144,5
Breffi,Внешниe email,2022-05-25,3bb74f7d-a11f-443b-bbd6-21f9cbfa8aff,"25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг. ПЕРЕЗАПУСК НД","25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг. ПЕРЕЗАПУСК НД","Гастростат, Урдокса, Необутин",Гастроэнтерологи,166,153,18,1,4
Breffi,Внешниe email,2022-05-25,3bb74f7d-a11f-443b-bbd6-21f9cbfa8aff,"25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг. ПЕРЕЗАПУСК НД","25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг. ПЕРЕЗАПУСК НД","Гастростат, Урдокса, Необутин",Педиатры,2,2,0,0,0
Breffi,Внешниe email,2022-05-25,64d14355-8cd2-4029-817e-9aa95b0f6b07,"25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг.","25.05.2022 АК033_БФГ_Гастростат, Урдокса, Необутин_Волна №1_Рассылка_Верстка триг.","Гастростат, Урдокса, Необутин",Гастроэнтерологи,577,509,177,26,22
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Врачи скорой и неотложной медицинской помощи,1,1,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Дерматологи/Дерматовенерологи,1,1,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Диагносты (функциональные/ультразвуковые),1,1,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Другое,2,2,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Лечебная физкультура и спортивная медицина,1,1,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Неонатологи,1,1,0,0,0
Breffi,Внешниe email,2022-05-30,23c7629a-7383-486a-a22a-9677cbbf1249,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,30.05.2022 ЕВ035_БФГ_Педиатрия_Рассылка №4_Верстка и запуск ПОВТОР,No Brand,Онкологи,1,1,0,0,0
